;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
EIN HAUPTMANN DER SCHWEIZERGARDE;0.3228235294117647;180.16666666666669;{'closeness': 161, 'degree': 153, 'betweenness': 191};10;0.0
FOUCHÉ;0.43164044943820223;43.16666666666667;{'closeness': 33, 'degree': 75, 'betweenness': 31};18;0.01024215501003704
EIN ANDERER;0.4139655172413793;94.83333333333333;{'closeness': 41, 'degree': 24, 'betweenness': 60};26;0.0
VIERTER JÄGER;0.3524403669724771;164.33333333333331;{'closeness': 123, 'degree': 119, 'betweenness': 192};12;0.0
EINE MASSE FRANZÖSISCHER INFANTERIE;0.3570260223048327;162.0;{'closeness': 110, 'degree': 186, 'betweenness': 193};7;0.0
DRITTER OFFIZIER;0.44669767441860464;143.0;{'closeness': 27, 'degree': 55, 'betweenness': 194};25;0.0
DER MAJOR;0.3524403669724771;170.66666666666669;{'closeness': 124, 'degree': 120, 'betweenness': 195};12;0.0
HERZOG VON BERRY;0.39768115942028986;22.833333333333336;{'closeness': 56, 'degree': 22, 'betweenness': 8};28;0.08363190177111172
EIN ANDERER BÜRGER;0.3904065040650406;48.83333333333333;{'closeness': 61, 'degree': 89, 'betweenness': 20};17;0.01591374195373814
TRUPPEN;0.3154022988505747;190.83333333333331;{'closeness': 170, 'degree': 191, 'betweenness': 196};6;0.0
PREUSSISCHE REITEREI;0.38186878727634194;172.16666666666669;{'closeness': 79, 'degree': 166, 'betweenness': 197};9;0.0
DER ALTE GÄRTNER;0.2941500765696784;194.16666666666669;{'closeness': 177, 'degree': 196, 'betweenness': 198};4;0.0
DIE KÜRASSIERE;0.3498724954462659;182.16666666666669;{'closeness': 130, 'degree': 167, 'betweenness': 199};9;0.0
EIN FLÜGELADJUTANT;0.44669767441860464;147.33333333333334;{'closeness': 28, 'degree': 56, 'betweenness': 200};25;0.0
DER AM HOHLWEG KOMMANDIERENDE ENGLISCHE GENERAL;0.32336700336700336;177.16666666666669;{'closeness': 154, 'degree': 105, 'betweenness': 201};16;0.0
